gene_id	N45G1	N45G2	N45G3	N45G4	N45G5	S45G1	S45G2	S45G3	S45G4	S45G5
UdeG00000000001	0	0	0	0	0	10	0	0	0	41
UdeG00000000002	0	0	0	0	0	0	0	0	0	0
UdeG00000000003	1	7	408	5	464	156	3	1	3	80
UdeG00000000004	7	0	154	0	221	78	4	0	0	51
UdeG00000000005	2	1	13	0	9	5	15	0	0	4
UdeG00000000006	19	0	244	26	577	122	0	0	0	105
UdeG00000000007	0	0	6	0	17	0	0	0	0	0
UdeG00000000008	5	3	14	13	151	14	20	32	15	49
UdeG00000000009	40	37	82	139	59	35	83	75	66	55
UdeG00000000010	33	30	220	229	160	48	60	81	27	65
UdeG00000000011	61	0	21	60	113	41	183	5	71	74
UdeG00000000012	90	4	98	313	513	70	92	13	380	199
UdeG00000000013	12	0	12	7	0	0	3	5	47	9
UdeG00000000014	8	0	33	8	0	12	0	0	7	0
UdeG00000000015	13	0	0	13	0	1	0	3	1	0
UdeG00000000016	4	0	0	6	0	0	0	0	0	0
UdeG00000000017	0	0	31	75	0	26	20	40	0	0
UdeG00000000018	0	0	0	0	25	0	20	14	3	14
UdeG00000000019	0	0	0	15	0	0	0	23	0	0
UdeG00000000020	2	5	9	14	138	11	18	16	8	36
UdeG00000000021	138	109	191	178	493	145	111	96	90	125
UdeG00000000022	0	2	0	2	0	0	6	5	0	0
UdeG00000000023	3	0	0	0	0	0	0	0	4	0
UdeG00000000024	0	3	55	27	5	9	19	0	5	5
UdeG00000000025	102	104	310	272	4	19	182	135	303	29
UdeG00000000026	12	15	16	55	9	5	9	7	21	3
UdeG00000000027	2	9	0	21	24	0	0	0	1	4
UdeG00000000028	24	37	10	27	15	0	0	5	0	0
UdeG00000000029	8	30	82	79	59	54	60	39	34	28
UdeG00000000030	0	0	0	0	0	0	0	0	0	1
UdeG00000000031	0	0	0	1	0	0	0	0	1	0
UdeG00000000032	80	218	487	804	376	424	519	311	884	295
UdeG00000000033	0	0	6	2	0	0	18	3	46	21
UdeG00000000034	3	0	0	0	0	0	0	0	13	0
UdeG00000000035	14	0	14	10	12	14	5	10	21	4
UdeG00000000037	148	97	200	108	114	137	349	97	245	160
UdeG00000000038	5	3	176	874	3	0	220	0	0	3
UdeG00000000039	37	225	379	297	236	9	98	61	67	58
UdeG00000000040	0	0	15	8	13	0	5	5	0	3
UdeG00000000041	11	69	129	119	98	34	123	55	144	49
UdeG00000000042	0	0	0	0	0	0	0	0	8	0
UdeG00000000043	12	8	99	105	15	39	33	5	14	13
UdeG00000000044	91	111	330	251	1	18	138	155	294	30
UdeG00000000045	213	381	590	854	257	81	236	215	368	178
UdeG00000000046	0	0	22	27	13	0	4	7	0	3
UdeG00000000047	11	109	119	129	157	28	185	88	137	69
UdeG00000000048	0	0	0	0	0	0	0	0	1	0
UdeG00000000049	0	0	0	0	0	0	0	0	5	0
UdeG00000000050	0	0	0	24	5	2	0	0	0	2
UdeG00000000052	0	9	4	264	302	4	28	0	10	19
UdeG00000000053	64	63	67	104	119	47	161	58	94	92
UdeG00000000054	78	35	75	99	199	26	50	100	63	78
UdeG00000000055	0	17	56	31	17	0	15	29	0	10
UdeG00000000056	1	6	18	23	4	4	1	5	9	13
UdeG00000000057	0	6	2	22	2	0	4	0	0	1
UdeG00000000058	0	0	0	163	0	0	1323	23	1669	56
UdeG00000000059	0	0	0	0	0	0	0	0	0	0
UdeG00000000060	91	212	164	270	75	30	130	68	11	24
UdeG00000000061	38	138	122	109	11	5	75	19	0	0
UdeG00000000062	3	0	1	1	0	0	0	5	0	0
UdeG00000000063	792	40	4	24	55	9	17	0	16	22
UdeG00000000064	0	0	0	0	3	0	5	0	1	5
UdeG00000000065	14	28	23	163	29	28	275	30	244	69
UdeG00000000066	627	363	434	734	2254	281	514	681	350	967
UdeG00000000067	97	91	169	237	115	55	59	50	132	245
UdeG00000000068	19	31	12	213	52	7	64	13	177	291
UdeG00000000070	0	0	0	0	0	0	0	0	0	0
UdeG00000000071	604	573	709	546	740	612	699	423	603	362
UdeG00000000072	159	200	140	276	243	274	289	421	260	72
UdeG00000000073	4	36	92	10	20	18	20	30	4	176
UdeG00000000074	179	57	465	421	304	571	722	128	589	128
UdeG00000000075	98	56	98	120	100	46	33	93	46	81
UdeG00000000076	110	303	187	219	315	69	62	206	56	466
UdeG00000000077	0	0	0	0	0	0	0	0	0	0
UdeG00000000078	0	38	0	20	25	0	0	0	0	0
UdeG00000000079	0	0	0	5	0	0	0	0	0	0
UdeG00000000080	0	0	0	3	0	0	0	0	0	0
UdeG00000000081	0	0	53	0	0	0	6	0	0	0
UdeG00000000082	0	0	2	1	4	0	1	2	6	1
UdeG00000000083	1	1	0	1	1	1	1	1	1	0
UdeG00000000084	0	0	0	0	0	0	0	0	0	0
UdeG00000000085	0	0	1	0	0	1	0	0	0	0
UdeG00000000086	0	3	0	9	0	0	83	14	139	70
UdeG00000000087	0	0	41	33	4	4	0	0	4	0
UdeG00000000088	0	0	75	0	0	6	7	33	0	5
UdeG00000000089	49	86	73	116	443	26	52	199	38	135
UdeG00000000090	0	0	0	0	11	0	0	0	0	5
UdeG00000000091	2	0	2	1	3	1	11	6	2	2
UdeG00000000092	0	0	0	2	3	0	15	0	19	2
UdeG00000000093	5	0	0	0	0	1	2	0	7	3
UdeG00000000094	0	0	0	0	6	0	1	0	0	8
UdeG00000000095	0	0	0	0	0	0	0	0	0	0
UdeG00000000096	0	0	0	0	0	0	0	0	0	0
UdeG00000000097	7	5	20	11	86	7	5	0	0	5
UdeG00000000098	6	7	30	16	9	18	28	0	7	34
UdeG00000000099	9	40	0	0	4	0	0	2	0	0
UdeG00000000100	0	0	0	0	0	0	0	0	0	0
UdeG00000000101	16	16	38	42	12	12	8	2	0	8
UdeG00000000102	38	46	87	74	0	51	38	10	30	72
UdeG00000000103	43	80	65	121	18	34	10	0	18	122
UdeG00000000104	14	31	88	56	35	121	83	42	83	51
UdeG00000000105	13	27	31	45	42	93	33	14	55	21
UdeG00000000106	36	64	89	33	168	49	28	4	21	8
UdeG00000000107	0	21	17	0	0	0	7	14	7	6
UdeG00000000108	0	0	6	0	0	0	0	0	5	4
UdeG00000000109	21	15	3	0	0	3	3	12	0	18
UdeG00000000110	0	0	0	0	0	2	0	0	0	0
UdeG00000000111	46	72	72	44	56	102	63	37	73	54
UdeG00000000112	14	27	12	12	14	30	22	14	38	17
UdeG00000000113	193	327	218	263	239	250	204	101	279	215
UdeG00000000114	606	615	1013	844	1038	807	489	1078	594	598
UdeG00000000115	0	0	0	5	0	0	0	0	0	2
UdeG00000000116	0	0	7	0	0	0	1	7	3	40
UdeG00000000117	84	59	172	133	136	43	91	89	102	91
UdeG00000000118	24	21	0	12	111	41	43	25	17	7
UdeG00000000119	1280	1123	1305	2959	1118	747	3534	1556	2845	1844
UdeG00000000120	181	284	219	376	227	98	100	113	102	68
UdeG00000000121	0	0	0	0	0	0	0	0	0	0
UdeG00000000122	0	0	0	0	0	0	0	0	0	0
UdeG00000000123	36	50	48	81	40	25	123	62	92	100
UdeG00000000124	728	673	963	889	951	885	1163	1587	1395	980
UdeG00000000125	100	289	136	344	455	54	205	265	213	198
UdeG00000000126	158	58	67	172	189	90	133	114	83	122
UdeG00000000127	30	51	23	76	41	3	3	6	9	0
UdeG00000000128	230	196	233	344	299	123	160	346	219	193
UdeG00000000129	43	91	804	77	77	46	588	128	699	85
UdeG00000000130	12	31	25	66	42	24	74	74	60	345
UdeG00000000131	6	111	15	21	21	0	85	63	70	288
UdeG00000000132	1	0	17	0	0	0	0	0	6	47
UdeG00000000133	5	6	0	0	0	0	2	10	4	0
UdeG00000000134	0	0	0	0	0	0	0	1	0	0
UdeG00000000135	26	0	17	30	86	4	0	55	28	11
UdeG00000000136	51	19	60	126	119	63	61	314	114	127
UdeG00000000137	14	28	7	2	9	10	7	2	7	25
UdeG00000000138	10	23	6	2	8	9	5	1	5	16
UdeG00000000139	9	22	5	2	6	8	4	1	4	14
UdeG00000000140	82	77	170	232	245	430	349	75	229	218
UdeG00000000141	0	0	9	3	13	31	194	0	41	14
UdeG00000000142	187	159	140	322	384	44	139	89	62	33
UdeG00000000143	0	0	3	8	0	0	0	0	0	0
UdeG00000000144	0	0	8	0	0	0	12	0	0	0
UdeG00000000145	534	494	373	667	655	366	302	533	417	339
UdeG00000000146	311	182	327	682	819	104	271	293	49	101
UdeG00000000147	0	0	0	0	0	0	0	0	0	0
UdeG00000000148	0	30	11	11	24	0	12	18	12	11
UdeG00000000149	0	19	74	57	73	60	188	65	136	471
UdeG00000000150	0	12	62	163	136	142	163	77	260	217
UdeG00000000152	0	0	8	0	0	0	0	0	0	0
UdeG00000000153	0	0	0	0	0	0	0	8	0	0
UdeG00000000154	0	0	0	0	0	0	0	0	0	0
UdeG00000000155	0	0	0	0	0	0	5	0	0	0
UdeG00000000156	153	196	279	262	346	222	304	194	183	210
UdeG00000000157	749	852	1135	1393	1338	1170	1051	1275	879	1203
UdeG00000000158	0	0	0	0	0	0	0	0	0	0
UdeG00000000159	13	35	35	25	24	23	23	47	23	30
UdeG00000000160	0	0	0	0	0	0	15	0	0	0
UdeG00000000161	9	0	0	0	0	13	12	0	0	5
UdeG00000000165	0	0	0	0	0	0	16	0	0	0
UdeG00000000166	0	10	0	0	12	8	32	22	16	19
UdeG00000000167	8	0	0	0	0	26	43	17	48	36
UdeG00000000169	179	57	133	275	360	108	204	112	160	206
UdeG00000000170	546	430	765	582	911	962	1302	978	902	635
UdeG00000000171	59	41	78	66	127	45	94	157	86	52
UdeG00000000172	3	0	14	1	54	1	3	0	0	3
UdeG00000000173	0	0	0	0	0	0	0	0	0	0
UdeG00000000174	1928	1226	1853	1726	3135	1290	1334	1841	833	1195
UdeG00000000176	1750	2102	2377	2128	2340	1434	1660	1685	1732	1325
UdeG00000000177	0	0	0	0	0	0	0	0	0	0
UdeG00000000178	0	0	0	0	0	0	0	0	0	0
UdeG00000000179	0	0	15	0	0	0	34	0	0	0
UdeG00000000180	0	0	0	0	0	0	0	0	0	0
UdeG00000000181	0	0	0	0	0	0	0	0	0	0
UdeG00000000182	0	0	0	0	0	0	0	0	0	0
UdeG00000000183	0	0	0	0	0	0	0	0	0	0
UdeG00000000184	0	0	0	0	0	0	0	0	0	0
UdeG00000000185	0	0	0	0	0	0	0	0	0	0
UdeG00000000186	106	128	86	186	154	181	148	59	41	44
UdeG00000000187	204	174	256	319	205	202	327	288	68	184
UdeG00000000188	220	230	379	835	517	275	395	416	586	293
UdeG00000000189	706	610	851	1181	1076	150	253	515	301	371
UdeG00000000190	121	23	139	178	425	74	194	95	76	75
UdeG00000000191	24	0	28	17	106	10	25	0	12	28
UdeG00000000192	708	665	899	1158	1901	640	1024	1352	885	841
UdeG00000000193	241	303	412	489	611	370	616	396	634	466
UdeG00000000195	1358	1254	1734	1823	1865	1294	1700	1233	1369	1266
UdeG00000000197	962	1457	1961	3724	1975	1649	1341	2401	1625	1598
UdeG00000000198	220	359	272	188	423	167	289	300	264	285
UdeG00000000199	28	15	10	28	0	0	16	9	30	49
UdeG00000000200	0	0	0	2	0	0	0	0	0	0
UdeG00000000201	4093	3914	7130	6028	7514	5978	5862	7180	4359	3810
UdeG00000000202	493	2598	997	188	363	140	475	231	738	306
UdeG00000000203	1271	1144	1709	2346	2285	1277	1139	1169	849	859
UdeG00000000205	1093	1150	2197	1892	1712	817	1269	1384	993	899
UdeG00000000206	924	774	1329	1754	1856	1306	1662	1137	1097	1195
UdeG00000000207	0	0	7	0	0	0	0	4	0	0
UdeG00000000208	478	523	1216	785	803	519	460	503	413	248
UdeG00000000211	0	0	0	0	0	0	0	0	0	0
UdeG00000000212	59	28	4	0	13	32	16	63	0	28
UdeG00000000213	3	8	3	4	4	0	8	10	1	0
UdeG00000000214	124	165	179	155	83	47	66	111	97	51
UdeG00000000215	17	51	169	62	16	53	2	140	59	7
UdeG00000000217	19	0	16	34	31	3	16	27	24	29
UdeG00000000218	207	162	212	163	379	156	281	303	233	179
UdeG00000000219	412	346	298	427	544	330	726	458	427	411
UdeG00000000220	1492	1415	1924	1599	1782	1230	2216	2047	1652	2058
UdeG00000000221	582	491	877	778	1205	670	531	614	490	305
UdeG00000000222	2273	2728	3101	3313	2814	1825	2626	3243	2452	2385
UdeG00000000224	5025	2902	8158	7183	11610	4593	8288	7707	5075	4654
UdeG00000000225	4	2	3	1	3	1	3	2	3	0
UdeG00000000226	11909	7207	17771	16099	23764	10837	17561	16770	11456	10036
UdeG00000000227	1246	1520	1245	1310	783	980	1247	1223	1358	1455
UdeG00000000228	639	1106	1148	1345	1031	404	930	843	812	706
UdeG00000000229	90	204	150	120	95	68	92	73	80	94
UdeG00000000230	175	57	101	188	213	137	183	190	130	62
UdeG00000000231	7016	9099	11985	8567	16350	10719	11050	13822	7782	8472
UdeG00000000232	0	0	0	4	0	0	0	0	0	0
UdeG00000000233	0	10	32	0	7	68	0	18	0	0
UdeG00000000234	5	0	0	0	0	12	0	0	0	0
UdeG00000000235	7	13	0	14	0	4	8	0	0	0
UdeG00000000236	0	0	0	0	0	0	0	0	0	0
UdeG00000000237	74	96	0	97	0	0	0	0	0	0
UdeG00000000238	0	0	0	0	0	0	0	0	0	0
UdeG00000000239	0	0	0	4	0	0	0	0	0	0
UdeG00000000240	0	0	0	0	0	0	0	0	0	0
UdeG00000000241	1644	2002	2461	2290	1807	1583	2230	1915	2219	1586
UdeG00000000242	654	683	934	872	1501	700	1090	1216	1062	1040
UdeG00000000243	1	18	23	8	12	2	1	0	11	1
UdeG00000000244	0	0	10	3	13	11	0	17	110	0
UdeG00000000245	0	0	0	0	0	0	0	0	12	0
UdeG00000000246	19	10	26	32	11	7	0	25	0	24
UdeG00000000247	48	61	210	239	179	131	222	279	202	105
UdeG00000000248	13249	10985	14471	10949	26004	17662	24126	22829	18391	9635
UdeG00000000250	37714	21441	32013	21901	45185	15966	47252	21240	38806	14425
UdeG00000000251	36	15	64	47	12	13	56	18	26	9
UdeG00000000252	4681	6195	9436	3967	14120	3617	7284	4809	4929	1930
UdeG00000000253	6155	7036	12808	5852	14176	4213	7905	5129	5488	1774
UdeG00000000254	0	0	0	3	46	16	13	6	23	0
UdeG00000000255	0	8	0	0	0	0	0	0	0	5
UdeG00000000256	0	5	0	0	0	0	0	0	0	0
UdeG00000000257	102	100	80	542	76	120	36	103	92	170
UdeG00000000258	459	397	483	322	298	310	517	587	435	354
UdeG00000000259	304	530	636	587	615	295	387	607	469	364
UdeG00000000260	0	0	0	0	0	0	0	0	0	0
UdeG00000000261	766	1098	983	1327	999	650	880	1163	727	1033
UdeG00000000262	283	256	532	252	183	414	414	365	259	147
UdeG00000000264	272	328	353	283	104	355	391	479	348	168
UdeG00000000265	145	128	213	212	31	200	218	249	183	41
UdeG00000000266	0	0	5	0	8	0	0	0	0	0
UdeG00000000267	358	279	526	338	467	760	406	852	367	527
UdeG00000000268	0	0	0	0	0	0	0	0	0	0
UdeG00000000270	2	3	0	0	5	2	10	2	1	6
UdeG00000000271	180	340	133	144	297	128	248	178	195	184
UdeG00000000272	3	0	0	0	5	0	7	1	5	9
UdeG00000000273	0	0	0	0	0	0	0	0	0	0
UdeG00000000274	0	0	0	11	0	0	2	0	0	0
UdeG00000000275	1	10	18	68	50	0	0	33	59	16
UdeG00000000276	10	4	12	14	0	0	5	0	18	0
UdeG00000000277	6	0	5	87	4	77	8	190	4	9
UdeG00000000278	215	329	571	364	560	301	291	461	356	552
UdeG00000000279	0	0	0	0	0	66	0	56	47	38
UdeG00000000280	0	0	14	0	0	80	0	103	126	51
UdeG00000000281	679	926	764	997	1634	555	990	918	715	619
UdeG00000000282	0	0	0	0	0	0	0	0	0	0
UdeG00000000283	32	50	12	13	26	23	25	9	33	20
UdeG00000000285	0	0	0	0	8	0	0	0	0	0
UdeG00000000286	435	345	474	650	760	291	766	318	386	624
UdeG00000000287	40	16	8	50	112	77	39	56	34	17
UdeG00000000288	222	310	244	543	276	184	308	319	177	287
UdeG00000000289	18973	18650	32736	23591	37163	22993	25225	28918	19211	16072
UdeG00000000291	608	777	626	710	822	507	521	652	457	634
UdeG00000000292	35	0	22	35	24	10	0	24	22	17
UdeG00000000293	0	5	0	0	0	0	0	0	0	0
UdeG00000000296	435	330	249	164	145	313	527	445	368	425
UdeG00000000297	2642	687	1109	2490	858	391	1336	662	1323	2204
UdeG00000000298	167	148	85	220	347	266	402	540	236	349
UdeG00000000299	1987	3628	3637	1748	2352	1901	4797	1060	2709	2129
UdeG00000000300	1142	1891	1802	1616	2223	945	1243	2312	1325	1319
UdeG00000000301	512	510	635	565	994	329	560	707	520	521
UdeG00000000302	76	47	47	24	32	28	50	28	31	9
UdeG00000000303	385	455	692	613	469	401	611	528	366	417
UdeG00000000306	1727	1008	1723	2018	2912	1042	1320	1488	825	961
